dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
chttp-0.1.2,18.32,,18.32,1,failed,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/chttp-0.1.2/Cargo.toml,rustsan_crates/chttp-0.1.2/Cargo.toml,extract_failed,RUSTSAN,,,,chttp-0.1.2,,/tmp/seraph-deepsurf-round1-20260428-2045/chttp-0.1.2,rustsan_crates/chttp-0.1.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,"  error occurred in cc-rs: command did not execute successfully (status code exit status: 1): LC_ALL=""C"" ""cc"" ""-O0"" ""-ffunction-sections"" ""-fdata-sections"" ""-fPIC"" ""-g"" ""-gdwarf-4"" ""-fno-omit-frame-pointer"" ""-m64"" ""-I"" ""curl/lib"" ""-I"" ""curl/include"" ""-I"" ""/usr/include"" ""-I"" ""/usr/include"" ""-w"" ""-fvisibility=hidden"" ""-DBUILDING_LIBCURL"" ""-DCURL_DISABLE_DICT"" ""-DCURL_DISABLE_GOPHER"" ""-DCURL_DISABLE_",extract
flatbuffers-0.8.0,6.04,,6.04,1,failed,,,,,,,/tmp/deepSURF-main/dataset/rustsan_crates/flatbuffers-0.8.0/Cargo.toml,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,extract_failed,RUSTSAN,,,,flatbuffers-0.8.0,,/tmp/seraph-deepsurf-round1-20260428-2045/flatbuffers-0.8.0,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 407276",extract
generic-array-0.13.2,108.14,,5.21,0,ok,0.24,0,ok,25.96,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/generic-array-0.13.2/Cargo.toml,rustsan_crates/generic-array-0.13.2/Cargo.toml,validated,RUSTSAN,0.24,0,ok,generic-array-0.13.2,1,/tmp/seraph-deepsurf-round1-20260428-2045/generic-array-0.13.2,rustsan_crates/generic-array-0.13.2/Cargo.toml,0,failed,1.0,ok,1,[],[],76.48,0,ok,0.0,0,0,1,0,ok,validated,api::generic_array::GenericArray::from_exact_iter,generic_array::GenericArray::from_exact_iter,2.3,,
id-map-0.2.1,107.4,,4.22,0,ok,0.26,0,ok,42.45,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/id-map-0.2.1/Cargo.toml,rustsan_crates/id-map-0.2.1/Cargo.toml,bug,RUSTSAN,0.24,0,ok,id-map-0.2.1,4,/tmp/seraph-deepsurf-round1-20260428-2045/id-map-0.2.1,rustsan_crates/id-map-0.2.1/Cargo.toml,0,failed,1.0,ok,1,"[""api::id_map::IdMap::into_iter""]",[],60.22,0,ok,0.25,1,1,0,0,bug,validated,api::id_map::IdMap::into_iter,id_map::IdMap::into_iter,2.3,,
safe-transmute-0.10.0,103.97,,0.57,0,ok,0.31,0,ok,37.61,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/safe-transmute-0.10.0/Cargo.toml,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,safe-transmute-0.10.0,28,/tmp/seraph-deepsurf-round1-20260428-2045/safe-transmute-0.10.0,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,0,failed,1.0,ok,1,[],[],65.24,0,ok,0.0,0,0,1,0,ok,validated,api::safe_transmute::bool::guarded_transmute_bool_pedantic,safe_transmute::bool::guarded_transmute_bool_pedantic,2.2,,
scratchpad-1.3.0,546.42,,4.61,0,ok,0.42,0,ok,102.44,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/scratchpad-1.3.0/Cargo.toml,rustsan_crates/scratchpad-1.3.0/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,scratchpad-1.3.0,31,/tmp/seraph-deepsurf-round1-20260428-2045/scratchpad-1.3.0,rustsan_crates/scratchpad-1.3.0/Cargo.toml,0,failed,0.0,failed,0,[],[],438.71,0,ok,0.0,0,0,0,0,skipped,attempted,api::scratchpad::allocation::Allocation::concat_unchecked,scratchpad::allocation::Allocation::concat_unchecked,5.05,,
sized-chunks-0.6.2,164.83,,4.28,0,ok,0.36,0,ok,57.4,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/sized-chunks-0.6.2/Cargo.toml,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,sized-chunks-0.6.2,26,/tmp/seraph-deepsurf-round1-20260428-2045/sized-chunks-0.6.2,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,0,failed,0.0,failed,0,[],[],102.55,0,ok,0.0,0,0,0,0,skipped,attempted,api::sized_chunks::sparse_chunk::SparseChunk::get_unchecked,sized_chunks::sparse_chunk::SparseChunk::get_unchecked,4.95,,
slice-deque-0.1.15,220.77,,2.79,0,ok,0.37,0,ok,101.07,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/slice-deque-0.1.15/Cargo.toml,rustsan_crates/slice-deque-0.1.15/Cargo.toml,attempted,RUSTSAN,0.25,0,ok,slice-deque-0.1.15,29,/tmp/seraph-deepsurf-round1-20260428-2045/slice-deque-0.1.15,rustsan_crates/slice-deque-0.1.15/Cargo.toml,0,failed,0.0,failed,0,[],[],116.28,0,ok,0.0,0,0,0,0,skipped,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,,
smallvec-0.6.1,163.08,,2.13,0,ok,0.29,0,ok,50.08,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.1/Cargo.toml,rustsan_crates/smallvec-0.6.1/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,smallvec-0.6.1,12,/tmp/seraph-deepsurf-round1-20260428-2045/smallvec-0.6.1,rustsan_crates/smallvec-0.6.1/Cargo.toml,0,failed,0.0,failed,0,[],[],110.34,0,ok,0.0,0,0,0,0,skipped,attempted,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
smallvec-0.6.3,121.81,,2.28,0,ok,0.29,0,ok,38.51,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/smallvec-0.6.3/Cargo.toml,rustsan_crates/smallvec-0.6.3/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,smallvec-0.6.3,12,/tmp/seraph-deepsurf-round1-20260428-2045/smallvec-0.6.3,rustsan_crates/smallvec-0.6.3/Cargo.toml,0,failed,0.0,failed,0,[],[],80.48,0,ok,0.0,0,0,0,0,skipped,attempted,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
