compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,fix_status,fix_success_count,found_bugs,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,needs_review,outcome,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,source_group,targets_elapsed_seconds,targets_return_code,targets_status,top_api_status,top_target_api_id,top_target_path,top_target_score,unit_name,unsafe_target_count,workspace_dir,workunit_key,error_message,error_stage,rerun_date,rerun_kind,supersedes_workspace_dir
[],[],,1,ok,1.0,stackvector-1.0.8,221.51,,0.66,0,ok,ok,0,[],0.28,0,ok,97.44,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stackvector-1.0.8/Cargo.toml,erasan_crates/stackvector-1.0.8/Cargo.toml,[],runtime_error,122.87,0,ok,0.15151515151515152,1,1,0,0,bug,ERASAN,0.25,0,ok,validated,api::stackvector::StackVec::drain,stackvector::StackVec::drain,2.3,stackvector-1.0.8,10,/tmp/seraph-deepsurf-round1-latest-20260429/stackvector-1.0.8,erasan_crates/stackvector-1.0.8/Cargo.toml,,,,,
,,,,,,string-interner-0.7.0,28.24,,0.53,0,ok,,,,0.24,0,ok,27.23,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/string-interner-0.7.0/Cargo.toml,erasan_crates/string-interner-0.7.0/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.24,0,ok,,,,,string-interner-0.7.0,0,/tmp/seraph-deepsurf-round1-latest-20260429/string-interner-0.7.0,erasan_crates/string-interner-0.7.0/Cargo.toml,,,,,
,,,,,,through-0.1.0,12.12,,0.45,0,ok,,,,0.38,0,ok,11.05,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/through-0.1.0/Cargo.toml,erasan_crates/through-0.1.0/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.24,0,ok,,,,,through-0.1.0,0,/tmp/seraph-deepsurf-round1-latest-20260429/through-0.1.0,erasan_crates/through-0.1.0/Cargo.toml,,,,,
[],[],,1,ok,1.0,tokio-1.24.1,415.62,,0.74,0,ok,ok,0,[],0.27,0,ok,253.9,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/tokio-1.24.1/Cargo.toml,erasan_crates/tokio-1.24.1/Cargo.toml,[],validated,160.46,0,ok,0.07407407407407407,0,0,1,0,ok,ERASAN,0.25,0,ok,validated,api::tokio::io::read_buf::ReadBuf::assume_init,tokio::io::read_buf::ReadBuf::assume_init,3.45,tokio-1.24.1,11,/tmp/seraph-deepsurf-round1-latest-20260429/tokio-1.24.1,erasan_crates/tokio-1.24.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,toodee-0.2.4,302.21,,0.61,0,ok,ok,0,[],0.29,0,ok,107.85,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/toodee-0.2.4/Cargo.toml,erasan_crates/toodee-0.2.4/Cargo.toml,[],validated,193.21,0,ok,0.058823529411764705,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::toodee::ops::TooDeeOps::get_unchecked,toodee::ops::TooDeeOps::get_unchecked,4.95,toodee-0.2.4,9,/tmp/seraph-deepsurf-round1-latest-20260429/toodee-0.2.4,erasan_crates/toodee-0.2.4/Cargo.toml,,,,,
,,,,,,bincode-2.0.0-rc.3,0.73,,0.73,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/rug_crates/bincode-2.0.0-rc.3/Cargo.toml,rug_crates/bincode-2.0.0-rc.3/Cargo.toml,,extract_failed,,,,,,,,,,RUG,,,,,,,,bincode-2.0.0-rc.3,,/tmp/seraph-deepsurf-round1-latest-20260429/bincode-2.0.0-rc.3,rug_crates/bincode-2.0.0-rc.3/Cargo.toml,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 192817",extract,,,
,,,,,,chrono-0.5.0-alpha.1,857.49,,2.19,0,ok,,,,0.34,0,ok,854.7,0,ok,/tmp/deepSURF-main/dataset/rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.27,0,ok,,,,,chrono-0.5.0-alpha.1,0,/tmp/seraph-deepsurf-round1-latest-20260429/chrono-0.5.0-alpha.1,rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,,,,,
,,,,,,crc32fast-1.3.2,18.96,,0.59,0,ok,,,,0.26,0,ok,17.86,0,ok,/tmp/deepSURF-main/dataset/rug_crates/crc32fast-1.3.2/Cargo.toml,rug_crates/crc32fast-1.3.2/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.25,0,ok,,,,,crc32fast-1.3.2,0,/tmp/seraph-deepsurf-round1-latest-20260429/crc32fast-1.3.2,rug_crates/crc32fast-1.3.2/Cargo.toml,,,,,
,,,,,,hashes,15.07,hashes workspace member,0.67,0,ok,,,,0.25,0,ok,13.91,0,ok,/tmp/deepSURF-main/dataset/rug_crates/hashes/blake2/Cargo.toml,rug_crates/hashes/blake2/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.24,0,ok,,,,,hashes-blake2,0,/tmp/seraph-deepsurf-round1-latest-20260429/hashes-blake2,rug_crates/hashes/blake2/Cargo.toml,,,,,
,,,,,,hashes,92.34,hashes workspace member,0.6,0,ok,,,,0.24,0,ok,91.27,0,ok,/tmp/deepSURF-main/dataset/rug_crates/hashes/sha2/Cargo.toml,rug_crates/hashes/sha2/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.24,0,ok,,,,,hashes-sha2,0,/tmp/seraph-deepsurf-round1-latest-20260429/hashes-sha2,rug_crates/hashes/sha2/Cargo.toml,,,,,
[],[],,1,ok,1.0,itoa-1.0.6,47.8,,0.52,0,ok,ok,0,[],0.24,0,ok,21.4,0,ok,/tmp/deepSURF-main/dataset/rug_crates/itoa-1.0.6/Cargo.toml,rug_crates/itoa-1.0.6/Cargo.toml,[],validated,25.39,0,ok,1.0,0,0,1,0,ok,RUG,0.25,0,ok,validated,api::itoa::Buffer::format,itoa::Buffer::format,2.2,itoa-1.0.6,1,/tmp/seraph-deepsurf-round1-latest-20260429/itoa-1.0.6,rug_crates/itoa-1.0.6/Cargo.toml,,,,,
,,,,,,nom-7.1.2,995.24,,2.45,0,ok,,,,0.31,0,ok,992.25,0,ok,/tmp/deepSURF-main/dataset/rug_crates/nom-7.1.2/Cargo.toml,rug_crates/nom-7.1.2/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.23,0,ok,,,,,nom-7.1.2,0,/tmp/seraph-deepsurf-round1-latest-20260429/nom-7.1.2,rug_crates/nom-7.1.2/Cargo.toml,,,,,
,,,,,,num-traits-0.2.15,417.38,,1.54,0,ok,,,,0.29,0,ok,415.31,0,ok,/tmp/deepSURF-main/dataset/rug_crates/num-traits-0.2.15/Cargo.toml,rug_crates/num-traits-0.2.15/Cargo.toml,,no_targets,,,,,,,,,,RUG,0.24,0,ok,,,,,num-traits-0.2.15,0,/tmp/seraph-deepsurf-round1-latest-20260429/num-traits-0.2.15,rug_crates/num-traits-0.2.15/Cargo.toml,,,,,
